month,addon_id,count
2024-02,7,9
2024-02,6,4
2024-02,5,3
2024-02,14,3
2024-02,8,2
2024-02,11,2
2024-02,2,1
2024-02,4,1
2024-02,10,1
2024-03,7,44
2024-03,8,29
2024-03,6,10
2024-03,11,9
2024-03,1,8
2024-03,2,8
2024-03,5,8
2024-03,14,7
2024-03,10,3
2024-03,9,1
2024-04,7,40
2024-04,8,33
2024-04,6,21
2024-04,2,12
2024-04,11,12
2024-04,1,3
2024-04,5,3
2024-04,14,3
2024-04,10,2
2024-04,4,1
2024-04,9,1
2024-04,19,1
2024-05,7,55
2024-05,8,51
2024-05,11,32
2024-05,2,19
2024-05,1,13
2024-05,6,9
2024-05,9,8
2024-05,5,3
2024-05,12,3
2024-05,10,2
2024-05,14,2
2024-06,7,58
2024-06,8,39
2024-06,2,16
2024-06,6,16
2024-06,11,16
2024-06,1,12
2024-06,9,7
2024-06,12,5
2024-06,5,4
2024-06,4,2
2024-06,10,1
2024-06,14,1
2024-06,19,1
2024-07,8,38
2024-07,7,30
2024-07,6,11
2024-07,11,7
2024-07,1,5
2024-07,2,5
2024-07,5,4
2024-07,12,3
2024-07,9,1
2024-08,8,35
2024-08,7,29
2024-08,2,13
2024-08,6,9
2024-08,11,8
2024-08,1,6
2024-08,5,5
2024-08,9,4
2024-08,10,2
2024-08,12,1
2024-08,14,1
2024-09,7,32
2024-09,8,27
2024-09,2,7
2024-09,11,7
2024-09,6,5
2024-09,14,5
2024-09,1,2
2024-09,19,1
2024-10,7,39
2024-10,8,38
2024-10,2,11
2024-10,6,9
2024-10,11,9
2024-10,1,5
2024-10,14,4
2024-10,5,3
2024-10,12,2
2024-11,8,32
2024-11,7,31
2024-11,6,11
2024-11,11,11
2024-11,2,7
2024-11,9,4
2024-11,1,2
2024-11,5,2
2024-11,14,2
2024-11,12,1
2024-12,8,22
2024-12,7,17
2024-12,2,15
2024-12,34,6
2024-12,11,5
2024-12,12,5
2024-12,1,4
2024-12,6,4
2024-12,5,3
2024-12,9,3
2024-12,36,2
2024-12,10,1
2024-12,35,1
2025-01,8,28
2025-01,7,15
2025-01,6,8
2025-01,11,8
2025-01,1,6
2025-01,2,5
2025-01,5,4
2025-01,12,4
2025-01,9,3
2025-01,4,1
2025-01,14,1
2025-01,36,1
2025-02,7,22
2025-02,8,22
2025-02,11,9
2025-02,6,8
2025-02,1,4
2025-02,2,4
2025-02,12,3
2025-02,10,2
2025-02,9,1
2025-03,7,32
2025-03,8,16
2025-03,6,9
2025-03,2,6
2025-03,1,5
2025-03,9,3
2025-03,4,2
2025-03,11,2
2025-03,14,2
2025-03,12,1
2025-03,15,1
2025-03,16,1
2025-03,17,1
2025-03,18,1
2025-04,8,39
2025-04,7,30
2025-04,1,10
2025-04,2,7
2025-04,6,7
2025-04,15,7
2025-04,10,6
2025-04,9,2
2025-04,4,1
2025-04,5,1
2025-04,11,1
2025-05,7,41
2025-05,8,38
2025-05,2,10
2025-05,11,9
2025-05,1,6
2025-05,6,6
2025-05,9,5
2025-05,4,2
2025-05,5,2
2025-05,12,2
2025-05,15,2
2025-05,14,1
2025-06,7,38
2025-06,8,25
2025-06,2,12
2025-06,6,7
2025-06,11,7
2025-06,1,6
2025-06,9,5
2025-06,10,2
2025-06,14,2
2025-06,4,1
2025-06,12,1
2025-07,8,31
2025-07,7,23
2025-07,2,9
2025-07,6,8
2025-07,15,8
2025-07,1,5
2025-07,4,2
2025-07,9,2
2025-07,5,1
2025-07,14,1
2025-08,8,42
2025-08,7,38
2025-08,15,13
2025-08,2,9
2025-08,6,7
2025-08,1,6
2025-08,5,3
2025-08,4,2
2025-08,9,1
2025-08,10,1
2025-08,11,1
2025-09,7,30
2025-09,8,29
2025-09,2,9
2025-09,15,8
2025-09,4,4
2025-09,1,3
2025-09,5,3
2025-09,6,3
2025-09,11,2
2025-09,10,1
2025-09,14,1
2025-10,7,37
2025-10,8,26
2025-10,2,13
2025-10,1,10
2025-10,15,7
2025-10,4,5
2025-10,6,5
2025-10,5,3
2025-11,7,26
2025-11,8,24
2025-11,15,13
2025-11,2,8
2025-11,1,7
2025-11,5,1
2025-11,6,1
2025-11,10,1
2025-11,14,1
2026-03,2,1
2026-03,6,1
2026-03,7,1
2026-03,8,1
2026-03,11,1
2026-03,34,1
